id_livre,id_auteur
3029362,600299
65056,36719
1722607,669979
843588,59060
565335,214232
8621850,202936
6270483,2851248
15721,1899
132694,76471
206868,6375
11021735,4478744
1532027,714250
337048,73812
5711852,57462
150122,4708
11225502,3222611
49195,5944
7904453,2917917
837197,435114
1300866,49014
11788404,2950094
6933135,3100200
11983951,103615
7039742,165466
13742264,5169670
13302279,4061922
2145681,3058
16207330,6435350
15802906,3513
15754577,6443153
16161536,6519108
60220,33952
3920088,87534
15808466,54450
9762,6374
18211118,7178194
12844575,5287439
8427264,114998
17311105,6914886
12764606,4024
13157992,5366587
476575,42353
18487669,622455
17221425,2980235
15823426,6895821
18813006,7393090
2135550,1036736
15839322,73977
18079492,6177334
13642753,5109680
7342071,2266124
72707,41141
603260,166104
1497534,700231
8253037,54475
20652686,3456705
20740634,7765793
831829,58947
11836562,4983116
10319829,41322
12109310,7436684
16100436,2938554
3212989,4509656
21948349,8155833
9277339,4342615
17969685,7074841
10662433,151371
13611440,68959
21856443,7847481
46722,12627
17465447,3407883
19504319,3400294
17586459,4147574
28604340,6761864
22042627,6563368
18142403,7155023
26013033,7948011
13260536,5398571
25344650,13817906
17341550,6925957
694226,5989103
264892,5822041
20495415,7141792
1193177,580505
67825,38238
16181516,5761580
28781531,6434323
18626111,2884305
44185,24823
23492504,183479
34828719,16694297
36194389,17146284
766020,7518
20757532,6983061
34386617,588356
18404427,713
7348445,1061015
34947549,16448164
181800,41495
30523827,4701504
23524878,5898355
312435,27600
17736248,1649365
30038977,6470568
21396155,5625945
37684,94838
34234639,14672377
28873,4777916
411199,20559
20743633,7827599
659002,1565
95532,54970
6304133,2735638
84699,48465
315783,181627
7896141,2754199
4889214,220799
377679,144024
63504,35696
1523438,365388
796429,224336
300043,4633
1108884,546979
7178978,1373542
162331,94153
7995207,1383409
77125,1476
2392599,871368
11286888,4831831
626685,5786093
7932775,2130
8786358,1045593
25673,6819578
11778281,4965551
12394032,5139707
820966,29874
16442,9833
8431116,154791
12074927,2768002
4583489,27209
568592,732829
335459,2657
11029842,5596285
11603886,806500
2887157,166614
10790376,4654545
17561160,4801312
17185511,6654493
6828896,3064249
13557166,995289
75639,42993
191212,28463
5322135,724724
144127,83308
6077869,272650
11788440,4575326
930428,474489
13147661,4413626
263021,23503
17383763,6458246
47944,26891
6845839,4999130
18250100,6425980
20407756,6885811
64251,36203
20734410,1161639
15864513,6483061
8673931,4145664
825750,5732
2230284,1612
22365433,7513718
12040782,4342615
9795263,4485813
16152890,4401574
12577643,101078
15746101,64364
6238944,1772201
1845050,21261
763362,4112157
24699867,6422281
22618173,7145854
12945191,175035
15747708,3167424
174845,29333
2418888,483588
24892572,13485858
13376363,5431334
15818254,5833183
18680106,4805272
129582,74519
12700790,1192311
11168429,199737
6699443,3016878
