id_livre,id_award,date
253106,18,2006-01-01
389535,18,2005-01-01
28204534,18,2019-01-01
22752127,18,2018-01-01
18806240,18,2017-01-01
33906,18,2012-01-01
454856,18,2010-01-01
2214574,19,2009-01-01
104344,19,1992-01-01
209690,19,1993-01-01
6931246,19,2011-01-01
40271,19,1996-01-01
92762,19,1980-01-01
31357,19,1990-01-01
387339,19,1992-01-01
22037424,19,2000-01-01
536790,19,1986-01-01
28143415,19,2000-01-01
463376,19,1982-01-01
463378,19,1983-01-01
25372801,19,2017-01-01
13496,19,1997-01-01
5,19,2000-01-01
30165203,19,2002-01-01
40605251,19,1984-01-01
62291,19,2001-01-01
7332,19,1978-01-01
10572,19,1999-01-01
10664113,19,2012-01-01
15783514,19,2014-01-01
2744,19,2006-01-01
22544764,19,2016-01-01
17910048,19,2015-01-01
4703581,19,2010-01-01
116296,19,2008-01-01
40290,19,1988-01-01
13661,19,1991-01-01
61904,19,2004-01-01
68497,19,2003-01-01
31817749,19,2018-01-01
355,19,1985-01-01
252838,19,1981-01-01
7968,19,1989-01-01
2214574,20,2009-01-01
2917367,20,2009-01-01
209690,20,1993-01-01
9674335,20,2015-01-01
7202841,20,2015-01-01
6120349,20,2015-01-01
34037113,20,2018-01-01
15161,20,2007-01-01
26114291,20,2017-01-01
13490570,20,2015-01-01
297815,20,2005-01-01
11515328,20,2013-01-01
81075,20,2005-01-01
77355,20,1994-01-01
77353,20,1996-01-01
25692886,20,2019-01-01
21524446,20,2016-01-01
81070,20,1999-01-01
473869,20,2003-01-01
1148745,20,2008-01-01
16164271,20,2015-01-01
86889,20,2000-01-01
101949,20,2005-01-01
6671690,20,2002-01-01
694997,20,2013-01-01
9767,20,2000-01-01
