id,saga_name
26245853,Amos Decker 
77040,Hornblower Saga: Chronological Order 
11166,The Night Trilogy 
13630171,Demon Cycle 
40039708,
26312997,
46038451,Just Friends 
40548354,Portals to Whyland 
36389267,
25334576,
34684622,
43191440,
19523454,
52759512,
32618967,
857333,
50196744,
41081373,
43521657,
28165571,
12465812,
40116691,
22774,Slightly 
25810500,
21250772,
16103997,
31952703,
381072,
262545,Morrie Morgan 
153418,
303073,
26482,
57901,
634407,Inspector Rebus 
6771684,
102142,Rickey and G-Man 
281152,
762504,
74462,
1720099,
2781816,Doppelganger 
76758,Matthew Scudder 
6313326,Feather 
394228,Inspector Lynley 
6289558,Dawn & Julien 
123106,
3788,Margaret Thursday 
50804,
73932,The Song of Albion 
324748,
1099648,
605015,Dean Koontz's Frankenstein 
10810038,
144538,
6578507,
647579,
300044,Noughts and Crosses 
838668,Lucifer Box 
108980,Ivy & Bean 
1207980,
108979,Ivy & Bean 
7824997,Theodore Boone 
10720733,Theodore Boone 
104069,
6853895,
10801027,Cross My Heart 
6495228,
161788,
227462,
31488,
36559907,
601219,
7031834,
9068791,
6060130,
622855,George Smiley 
25624,
871,Fullmetal Alchemist 
7224154,
47701,InterWorld 
9471730,
13448374,
13424848,
1835150,
70884,
15760502,
22908,
12989115,Fallen Star 
5148758,
48503,
111388,
2332157,Marked 
13627199,
888367,
12722,
2437710,
6462570,
6987527,Travis Chase 
6184241,
935676,
6687176,
46969,
13222508,
11717826,The Acts of Caine 
6559316,A Love Story 
15757099,Hidden Wings 
8721183,Zombie Apocalypse! 
17929776,Liliana Batchelor 
8441754,
13171072,
17206996,Escorted 
10331050,Kara Gillian 
676,
17346301,Codex Draconis  
36613718,Enchant̩e 
13159887,
18239142,Bloodmark Saga 
16090271,
2530392,
18124599,Paige Alder 
17140887,Paige Alder 
6893384,
18362208,The Surrender Trilogy 
17453516,The Manhattanites 
6348484,
13059477,
17349023,
40884817,Pendergast 
17978443,The Supremes 
25419982,
12987986,
8035987,
351021,
563362,
497834,
17848055,
33230173,Captive Prince Short Stories 
11323484,Der Augensammler 
13608643,
16401102,The Keatyn Chronicles 
4736889,Ahriel 
18218630,
13455542,Persefone 
23783832,Liliana 
22594750,
14291975,
23650217,
25107900,
25506341,Liliana 
22044543,Coco Pinchard 
35187179,
4600787,
24981611,
97030,
15993255,
22587134,Breathless 
123667,
22698031,
780344,
11280184,
