id_genre,id_auteur
37,14112802
5,16100168
5,16855179
58,16855179
32,16640489
37,16640489
37,14584166
5,1074989
37,15945524
119,2983296
9,50264
1,144344
5,144344
317,284450
119,8001
37,53988
9,101108
45,101108
9,361715
95,361715
95,14086
317,14086
9,4631645
119,126807
9,3522611
95,3522611
17,485543
5,3396410
2,7162002
58,6565686
2,6879912
1,6857154
2,7151069
5,5160667
2,8119270
5,871368
118,871368
5,2463923
119,2463923
5,36378
46,36378
5,1438668
119,1410883
5,1479293
5,636118
647,636118
95,2729046
27,1532329
72,1532329
6,1297551
46,1503841
5,5835922
647,5835922
5,1273315
46,1270413
120,1270413
186,1270413
95,2521651
27,1499778
95,1499778
118,3162181
119,1856386
95,1039846
119,1039846
466,1480957
9,3009628
5,4465322
46,2864016
5,1244209
5,1270552
29,2879088
466,1452948
120,1108381
29,2974
118,1503405
5,2993185
29,2993185
5,1446194
647,1446194
29,75055
119,3299717
5,70692
647,70692
5,2499187
466,17863957
118,6466154
5,1268083
119,1268083
119,984651
119,1304524
466,1304524
29,16083673
29,1335181
45,1013808
5,1633682
29,2111680
5,15342319
29,1409619
120,1409619
72,814936
74,814936
120,8076193
119,871371
2,5131118
5,7792274
2,7265801
5,6208
9,65318
29,31845
72,31845
5,10020
4,6819578
118,6819578
120,6819578
27,1327946
5,1159886
5,23012
5,10885
72,10885
95,1853305
95,4797485
118,4797485
14,159357
17,10017
9,21798
265,21798
118,2622245
118,36556
118,10122
45,14190
5,5548
9,5548
95,5548
29,919
118,57651
466,57651
466,465
118,2192
118,51746
9,51287
95,51287
5,23510
118,7994
118,15321
118,11038
95,57639
120,57639
45,135106
45,9810
118,9810
14,14424
118,14424
9,29874
119,29874
5,1048676
118,879
37,14551237
5,6104
5,4649
2,326338
5,326338
5,61565
5,12915
5,3212742
32,7278256
5,64216
32,64216
7,13014
72,13014
5,273399
5,28544
37,237194
45,237194
213,6423103
5,3194936
647,3194936
37,6581077
5,20295
32,20295
